deviceId,service_area
10019908,31_芦浦停车区
10035982,32_南马服务区
10035887,32_南马服务区
10019918,33_南浦溪服务区
10019926,33_南浦溪服务区
10019948,33_南浦溪服务区
10019960,33_南浦溪服务区
10019988,34_南浔服务区
10035242,34_南浔服务区
10035274,34_南浔服务区
10020004,34_南浔服务区
10035320,34_南浔服务区
10035350,34_南浔服务区
10036152,35_宁海服务区
10048887,35_宁海服务区
10020112,36_磐安服务区
10033684,36_磐安服务区
10020124,36_磐安服务区
10033759,36_磐安服务区
10038169,38_潜川停车区
10038390,38_潜川停车区
10020132,39_桥头服务区
10020144,39_桥头服务区
10020152,39_桥头服务区
10020164,39_桥头服务区
10020170,40_青山服务区
10020182,40_青山服务区
10034065,40_青山服务区
10020188,40_青山服务区
10020200,40_青山服务区
10034189,40_青山服务区
10034235,40_青山服务区
10020206,41_青田服务区
10020220,41_青田服务区
10020232,41_青田服务区
10020234,41_青田服务区
10037467,41_青田服务区
10020244,43_衢江服务区
10020254,43_衢江服务区
10020262,45_衢州服务区
10020270,45_衢州服务区
10038294,45_衢州服务区
10020282,45_衢州服务区
10020294,45_衢州服务区
10020300,46_上虞服务区
10020312,46_上虞服务区
10020322,46_上虞服务区
10020334,46_上虞服务区
10020991,47_绍兴服务区
10021001,47_绍兴服务区
10021011,47_绍兴服务区
10021021,47_绍兴服务区
10038642,47_绍兴服务区
10038825,47_绍兴服务区
10038751,47_绍兴服务区
10038677,47_绍兴服务区
10038890,47_绍兴服务区
10020344,48_嵊州服务区
10020359,48_嵊州服务区
10020371,49_松阳服务区
10035986,49_松阳服务区
10020383,49_松阳服务区
10036270,50_遂昌停车区
10036298,50_遂昌停车区
10020393,52_台州服务区
10035689,52_台州服务区
10020403,52_台州服务区
10035737,52_台州服务区
10020419,53_太湖服务区
10020429,53_太湖服务区
10020715,54_天台服务区
10036552,54_天台服务区
10020725,54_天台服务区
10036616,54_天台服务区
10036677,54_天台服务区
10036708,54_天台服务区
10036705,54_天台服务区
10020733,55_文成服务区
10038516,55_文成服务区
10020741,55_文成服务区
10038520,56_武义服务区
10020749,57_仙居白塔服务区
10021393,57_仙居白塔服务区
10034555,57_仙居白塔服务区
10034577,57_仙居白塔服务区
10020769,57_仙居白塔服务区
10020775,57_仙居白塔服务区
10034609,57_仙居白塔服务区
10034631,57_仙居白塔服务区
10020795,58_仙居服务区
10020793,58_仙居服务区
10036016,58_仙居服务区
10036050,58_仙居服务区
10020801,58_仙居服务区
10020807,58_仙居服务区
10036128,58_仙居服务区
10036154,58_仙居服务区
10020813,59_仙霞服务区
10020819,59_仙霞服务区
10020827,59_仙霞服务区
10020835,59_仙霞服务区
10020843,61_萧山服务区
10020851,61_萧山服务区
10034895,61_萧山服务区
10034909,61_萧山服务区
10034917,61_萧山服务区
10034929,61_萧山服务区
10020859,61_萧山服务区
10020867,61_萧山服务区
10020869,61_萧山服务区
10034961,61_萧山服务区
10034979,61_萧山服务区
10034995,61_萧山服务区
10039981,61_萧山服务区
10020875,62_新昌服务区
10020881,62_新昌服务区
10039303,62_新昌服务区
10039315,62_新昌服务区
10020887,62_新昌服务区
10020893,62_新昌服务区
10039331,62_新昌服务区
10039398,62_新昌服务区
10020903,64_新浦服务区
10038334,64_新浦服务区
10038366,64_新浦服务区
10020907,64_新浦服务区
10020917,64_新浦服务区
10020921,64_新浦服务区
10021035,65_瑶琳服务区
10021047,65_瑶琳服务区
10021053,66_益农服务区
10021067,66_益农服务区
10021079,66_益农服务区
10021087,66_益农服务区
10021097,67_永嘉服务区
10033824,67_永嘉服务区
10021109,67_永嘉服务区
10033865,67_永嘉服务区
10021119,68_永康服务区
10036753,68_永康服务区
10021129,68_永康服务区
10036789,68_永康服务区
10036823,68_永康服务区
10021205,69_余姚服务区
10021213,69_余姚服务区
10021185,69_余姚服务区
10021191,69_余姚服务区
10021237,70_於潜服务区
10021247,70_於潜服务区
10021257,71_云和服务区
10021267,71_云和服务区
10021277,72_舟山服务区
10021283,73_周王庙服务区
10021289,73_周王庙服务区
10039098,73_周王庙服务区
10039141,73_周王庙服务区
10039173,73_周王庙服务区
10039189,73_周王庙服务区
10021295,73_周王庙服务区
10021349,73_周王庙服务区
10039249,73_周王庙服务区
10039275,73_周王庙服务区
10039333,73_周王庙服务区
10039359,73_周王庙服务区
10021323,75_诸永东阳服务区
10034083,75_诸永东阳服务区
10021343,75_诸永东阳服务区
10034137,75_诸永东阳服务区
10021363,76_诸永诸暨服务区
10021371,76_诸永诸暨服务区
10021379,76_诸永诸暨服务区
10021387,76_诸永诸暨服务区
10039697,76_诸永诸暨服务区
10039731,76_诸永诸暨服务区
